District,crop_name,crop_type,Area,Production
BUXAR,Bottle Gourd,vegetables,710,15214.29
DARBHANGA,Bottle Gourd,vegetables,1005,22311
GAYA,Bottle Gourd,vegetables,1200,1200
GOPALGANJ,Bottle Gourd,vegetables,1200,23500
JAMUI,Bottle Gourd,vegetables,310,6613.33
JEHANABAD,Bottle Gourd,vegetables,510,10098
KAIMUR (BHABUA),Bottle Gourd,vegetables,407,8140
KATIHAR,Bottle Gourd,vegetables,1416,27915.43
KHAGARIA,Bottle Gourd,vegetables,510,10404
KISHANGANJ,Bottle Gourd,vegetables,520,10400
LAKHISARAI,Bottle Gourd,vegetables,-,-
MADHEPURA,Bottle Gourd,vegetables,910,17694.44
MADHUBANI,Bottle Gourd,vegetables,610,11996.66
MUNGER,Bottle Gourd,vegetables,610,11488.33
MUZAFFARPUR,Bottle Gourd,vegetables,1690,36782.35
NALANDA,Bottle Gourd,vegetables,1000,21777.77
NAWADA,Bottle Gourd,vegetables,650,13371.42
PASHCHIM CHAMPARAN,Bottle Gourd,vegetables,1550,34513.33
PATNA,Bottle Gourd,vegetables,9600,21773.19
PURBI CHAMPARAN,Bottle Gourd,vegetables,1200,26571.42
PURNIA,Bottle Gourd,vegetables,1110,21090
ROHTAS,Bottle Gourd,vegetables,512,9420.8
SAHARSA,Bottle Gourd,vegetables,1101,23521.36
SAMASTIPUR,Bottle Gourd,vegetables,1012,23984.4
SARAN,Bottle Gourd,vegetables,1009,20180
SHEIKHPURA,Bottle Gourd,vegetables,303,5252
SHEOHAR,Bottle Gourd,vegetables,610,11793.34
SITAMARHI,Bottle Gourd,vegetables,1215,23287.5
SIWAN,Bottle Gourd,vegetables,901,17419.34
SUPAUL,Bottle Gourd,vegetables,202,4747
VAISHALI,Bottle Gourd,vegetables,1701,40023.53
ARARIA,Brinjal,vegetables,705,13923.25
ARWAL,Brinjal,vegetables,410,9737.53
AURANGABAD,Brinjal,vegetables,1105,22528.39
